80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:197 F:52

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:207 F:52
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:212 F:52
	80D534 85 22       STA $22       [000E8A] A:1EB4 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:220 F:52
	80D536 A5 08       LDA $08       [000E70] A:1EB4 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:229 F:52
	80D538 85 24       STA $24       [000E8C] A:0120 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:237 F:52
	80D53A E2 20       SEP #$20               A:0120 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:246 F:52
	80D53C A9 80       LDA #$80               A:0120 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:250 F:52
	80D53E 14 0E       TRB $0E       [000E76] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:253 F:52
	80D540 A5 0A       LDA $0A       [000E72] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:263 F:52
	80D542 0A          ASL A                  A:0102 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:270 F:52
	80D543 AA          TAX                    A:0104 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:273 F:52
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E1] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:276 F:52

	80F9BB 22 16 B5 81 JSL $81B516   [81B516] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:285 F:52

		81B516 A6 01       LDX $01       [000E69] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:298 F:52
		81B518 7C 1B B5    JMP ($B51B,X) [81B51F] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:305 F:52

		81B629 A5 33       LDA $33       [000E9B] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:314 F:52
		81B62B 04 11       TSB $11       [000E79] A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:320 F:52
		81B62D C2 20       REP #$20               A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:329 F:52
		81B62F A9 2D C4    LDA #$C42D             A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvmXdizc V:248 H:334 F:52
		81B632 85 20       STA $20       [000E88] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:248 H:338 F:52
		81B634 E2 20       SEP #$20               A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:249 H:  7 F:52
		81B636 A6 02       LDX $02       [000E6A] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvMXdizc V:249 H: 11 F:52
		81B638 FC F3 B6    JSR ($B6F3,X) [81B6F9] A:C42D X:0006 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H: 18 F:52

			81B93B A6 03       LDX $03       [000E6B] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 31 F:52
			81B93D 7C 40 B9    JMP ($B940,X) [81B946] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 37 F:52

			81B9A8 22 E8 81 82 JSL $8281E8   [8281E8] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 46 F:52

				8281E8 08          PHP                    A:C42D X:0006 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H: 60 F:52
				8281E9 C2 20       REP #$20               A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H: 65 F:52
				8281EB 38          SEC                    A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H: 69 F:52
				8281EC A5 1E       LDA $1E       [000E86] A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 72 F:52
				8281EE 29 FF 00    AND #$00FF             A:1040 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 81 F:52
				8281F1 E5 1C       SBC $1C       [000E84] A:0040 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 85 F:52
				8281F3 49 FF FF    EOR #$FFFF             A:0042 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H: 94 F:52
				8281F6 1A          INC                    A:FFBD X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H: 98 F:52
				8281F7 85 1C       STA $1C       [000E84] A:FFBE X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:101 F:52
				8281F9 80 10       BRA $0010     [82820B] A:FFBE X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:110 F:52
				82820B C2 21       REP #$21               A:FFBE X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:114 F:52
				82820D A5 04       LDA $04       [000E6C] A:FFBE X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:119 F:52
				82820F 65 1A       ADC $1A       [000E82] A:B480 X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:127 F:52
				828211 85 04       STA $04       [000E6C] A:B650 X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:146 F:52
				828213 E2 20       SEP #$20               A:B650 X:0006 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H:154 F:52
				828215 A9 00       LDA #$00               A:B650 X:0006 Y:0027 S:0128 D:0E68 DB:86 NvMXdizc V:249 H:159 F:52
				828217 24 1B       BIT $1B       [000E83] A:B600 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:162 F:52
				828219 10 01       BPL $0001     [82821C] A:B600 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:168 F:52
				82821C 65 06       ADC $06       [000E6E] A:B600 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:173 F:52
				82821E 85 06       STA $06       [000E6E] A:B61E X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:179 F:52
				828220 C2 20       REP #$20               A:B61E X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:186 F:52
				828222 38          SEC                    A:B61E X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:190 F:52
				828223 A5 07       LDA $07       [000E6F] A:B61E X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H:193 F:52
				828225 E5 1C       SBC $1C       [000E84] A:2004 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H:202 F:52
				828227 85 07       STA $07       [000E6F] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:210 F:52
				828229 E2 20       SEP #$20               A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:219 F:52
				82822B 9C 00 00    STZ $0000     [860000] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:223 F:52
				82822E 24 1D       BIT $1D       [000E85] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:230 F:52
				828230 10 03       BPL $0003     [828235] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 NVMXdizc V:249 H:236 F:52
				828232 CE 00 00    DEC $0000     [860000] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 NVMXdizc V:249 H:239 F:52
				828235 A5 09       LDA $09       [000E71] A:2046 X:0006 Y:0027 S:0128 D:0E68 DB:86 NVMXdizc V:249 H:249 F:52
				828237 ED 00 00    SBC $0000     [860000] A:2001 X:0006 Y:0027 S:0128 D:0E68 DB:86 nVMXdizc V:249 H:256 F:52
				82823A 85 09       STA $09       [000E71] A:2001 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:262 F:52
				82823C 28          PLP                    A:2001 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:269 F:52
				82823D 6B          RTL                    A:2001 X:0006 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H:275 F:52

			81B9AC 22 BE 91 84 JSL $8491BE   [8491BE] A:2001 X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H:286 F:52

				8491BE 08          PHP                    A:2001 X:0006 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H:299 F:52
				8491BF 0B          PHD                    A:2001 X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:304 F:52
				8491C0 C2 30       REP #$30               A:2001 X:0006 Y:0027 S:0126 D:0E68 DB:86 nvMXdizc V:249 H:311 F:52
				8491C2 A5 20       LDA $20       [000E88] A:2001 X:0006 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:316 F:52
				8491C4 F0 15       BEQ $0015     [8491DB] A:C42D X:0006 Y:0027 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H:324 F:52
				8491C6 7B          TDC                    A:C42D X:0006 Y:0027 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H:327 F:52
				8491C7 AA          TAX                    A:0E68 X:0006 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:329 F:52
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:332 F:52
