80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:323 F:25

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:332 F:25
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:337 F:25
	80D534 85 22       STA $22       [000E8A] A:1EE1 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:  5 F:25
	80D536 A5 08       LDA $08       [000E70] A:1EE1 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:249 H: 14 F:25
	80D538 85 24       STA $24       [000E8C] A:01A8 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:249 H: 22 F:25
	80D53A E2 20       SEP #$20               A:01A8 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:249 H: 31 F:25
	80D53C A9 80       LDA #$80               A:01A8 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:249 H: 35 F:25
	80D53E 14 0E       TRB $0E       [000E76] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:249 H: 38 F:25
	80D540 A5 0A       LDA $0A       [000E72] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:249 H: 48 F:25
	80D542 0A          ASL A                  A:0102 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:249 H: 55 F:25
	80D543 AA          TAX                    A:0104 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:249 H: 58 F:25
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E1] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:249 H: 61 F:25

	80F9BB 22 16 B5 81 JSL $81B516   [81B516] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:249 H: 70 F:25

		81B516 A6 01       LDX $01       [000E69] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H: 83 F:25
		81B518 7C 1B B5    JMP ($B51B,X) [81B51F] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H: 90 F:25

		81B629 A5 33       LDA $33       [000E9B] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H: 99 F:25
		81B62B 04 11       TSB $11       [000E79] A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H:105 F:25
		81B62D C2 20       REP #$20               A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H:115 F:25
		81B62F A9 2D C4    LDA #$C42D             A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvmXdizc V:249 H:120 F:25
		81B632 85 20       STA $20       [000E88] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:249 H:124 F:25
		81B634 E2 20       SEP #$20               A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:249 H:133 F:25
		81B636 A6 02       LDX $02       [000E6A] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvMXdizc V:249 H:147 F:25
		81B638 FC F3 B6    JSR ($B6F3,X) [81B6F9] A:C42D X:0006 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H:154 F:25

			81B93B A6 03       LDX $03       [000E6B] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H:167 F:25
			81B93D 7C 40 B9    JMP ($B940,X) [81B946] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H:173 F:25

			81B9A8 22 E8 81 82 JSL $8281E8   [8281E8] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H:182 F:25

				8281E8 08          PHP                    A:C42D X:0006 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H:196 F:25
				8281E9 C2 20       REP #$20               A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:201 F:25
				8281EB 38          SEC                    A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:205 F:25
				8281EC A5 1E       LDA $1E       [000E86] A:C42D X:0006 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H:208 F:25
