80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:241 F: 8

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:251 F: 8
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:256 F: 8
	80D534 85 22       STA $22       [000E8A] A:1EE1 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:264 F: 8
	80D536 A5 08       LDA $08       [000E70] A:1EE1 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:273 F: 8
	80D538 85 24       STA $24       [000E8C] A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:281 F: 8
	80D53A E2 20       SEP #$20               A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:290 F: 8
	80D53C A9 80       LDA #$80               A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:294 F: 8
	80D53E 14 0E       TRB $0E       [000E76] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:297 F: 8
	80D540 A5 0A       LDA $0A       [000E72] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:307 F: 8
	80D542 0A          ASL A                  A:0102 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:314 F: 8
	80D543 AA          TAX                    A:0104 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:317 F: 8
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E1] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:320 F: 8

	80F9BB 22 16 B5 81 JSL $81B516   [81B516] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:328 F: 8

