80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0004 S:0133 D:0E68 DB:86 nvMXdizC V:251 H: 94 F:24

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvMXdizC V:251 H:104 F:24
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:108 F:24
	80D534 85 22       STA $22       [000E8A] A:07C0 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:117 F:24
	80D536 A5 08       LDA $08       [000E70] A:07C0 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:125 F:24
	80D538 85 24       STA $24       [000E8C] A:00A8 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:144 F:24
	80D53A E2 20       SEP #$20               A:00A8 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:152 F:24
	80D53C A9 80       LDA #$80               A:00A8 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvMXdizC V:251 H:157 F:24
	80D53E 14 0E       TRB $0E       [000E76] A:0080 X:0000 Y:0004 S:0131 D:0E68 DB:86 NvMXdizC V:251 H:160 F:24
	80D540 A5 0A       LDA $0A       [000E72] A:0080 X:0000 Y:0004 S:0131 D:0E68 DB:86 NvMXdizC V:251 H:170 F:24
	80D542 0A          ASL A                  A:0005 X:0000 Y:0004 S:0131 D:0E68 DB:86 nvMXdizC V:251 H:176 F:24
	80D543 AA          TAX                    A:000A X:0000 Y:0004 S:0131 D:0E68 DB:86 nvMXdizc V:251 H:179 F:24
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E7] A:000A X:000A Y:0004 S:0131 D:0E68 DB:86 nvMXdizc V:251 H:182 F:24

	80F9CA 22 7E 8A 87 JSL $878A7E   [878A7E] A:000A X:000A Y:0004 S:0131 D:0E68 DB:86 nvMXdizc V:251 H:191 F:24

		878A7E A6 01       LDX $01       [000E69] A:000A X:000A Y:0004 S:012E D:0E68 DB:86 nvMXdizc V:251 H:205 F:24
		878A80 7C 83 8A    JMP ($8A83,X) [878A87] A:000A X:0004 Y:0004 S:012E D:0E68 DB:86 nvMXdizc V:251 H:211 F:24

