80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:247 H:173 F:14
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:247 H:177 F:14
	80D534 85 22       STA $22       [000E8A] A:076F X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:247 H:186 F:14
	80D536 A5 08       LDA $08       [000E70] A:076F X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:247 H:194 F:14
	80D538 85 24       STA $24       [000E8C] A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:247 H:203 F:14
	80D53A E2 20       SEP #$20               A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:247 H:211 F:14
	80D53C A9 80       LDA #$80               A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:247 H:216 F:14
	80D53E 14 0E       TRB $0E       [000E76] A:0080 X:0000 Y:009B S:0131 D:0E68 DB:86 NvMXdizC V:247 H:219 F:14
	80D540 A5 0A       LDA $0A       [000E72] A:0080 X:0000 Y:009B S:0131 D:0E68 DB:86 NvMXdizC V:247 H:229 F:14
	80D542 0A          ASL A                  A:0005 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:247 H:235 F:14
	80D543 AA          TAX                    A:000A X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:247 H:238 F:14
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E7] A:000A X:000A Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:247 H:241 F:14

	80F9CA 22 7E 8A 87 JSL $878A7E   [878A7E] A:000A X:000A Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:247 H:250 F:14

		878A7E A6 01       LDX $01       [000E69] A:000A X:000A Y:009B S:012E D:0E68 DB:86 nvMXdizc V:247 H:264 F:14
		878A80 7C 83 8A    JMP ($8A83,X) [878A87] A:000A X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:247 H:270 F:14

		878C1A A5 33       LDA $33       [000E9B] A:000A X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:247 H:279 F:14
