80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F: 9

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:182 F: 9
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:187 F: 9
	80D534 85 22       STA $22       [000E8A] A:1D60 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:195 F: 9
	80D536 A5 08       LDA $08       [000E70] A:1D60 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:204 F: 9
	80D538 85 24       STA $24       [000E8C] A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:212 F: 9
	80D53A E2 20       SEP #$20               A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:221 F: 9
	80D53C A9 80       LDA #$80               A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:225 F: 9
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:00BB S:0131 D:0E68 DB:86 NvMXdizC V:247 H:228 F: 9
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:00BB S:0131 D:0E68 DB:86 NvMXdizC V:247 H:238 F: 9
	80D542 0A          ASL A                  A:0331 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:245 F: 9
	80D543 AA          TAX                    A:0362 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:248 F: 9
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:251 F: 9

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:260 F: 9

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:273 F: 9
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:280 F: 9

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:289 F: 9
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:292 F: 9
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:302 F: 9
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:308 F: 9
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdiZc V:247 H:318 F: 9
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E2E] A:0308 X:0002 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:324 F: 9

			889F24 A6 03       LDX $03       [000E6B] A:0308 X:0002 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:247 H:337 F: 9
			889F26 7C 29 9F    JMP ($9F29,X) [889F2F] A:0308 X:0006 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H:  3 F: 9

			889F8D A5 0F       LDA $0F       [000E77] A:0308 X:0006 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H: 12 F: 9
			889F8F 10 15       BPL $0015     [889FA6] A:0383 X:0006 Y:00BB S:012C D:0E68 DB:86 NvMXdizc V:248 H: 19 F: 9
			889F91 A5 11       LDA $11       [000E79] A:0383 X:0006 Y:00BB S:012C D:0E68 DB:86 NvMXdizc V:248 H: 22 F: 9
			889F93 0A          ASL A                  A:0329 X:0006 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H: 28 F: 9
			889F94 0A          ASL A                  A:0352 X:0006 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H: 31 F: 9
			889F95 C2 20       REP #$20               A:03A4 X:0006 Y:00BB S:012C D:0E68 DB:86 NvMXdizc V:248 H: 34 F: 9
			889F97 A9 1C 00    LDA #$001C             A:03A4 X:0006 Y:00BB S:012C D:0E68 DB:86 NvmXdizc V:248 H: 39 F: 9
			889F9A B0 03       BCS $0003     [889F9F] A:001C X:0006 Y:00BB S:012C D:0E68 DB:86 nvmXdizc V:248 H: 43 F: 9
			889F9C A9 E4 FF    LDA #$FFE4             A:001C X:0006 Y:00BB S:012C D:0E68 DB:86 nvmXdizc V:248 H: 46 F: 9
			889F9F 18          CLC                    A:FFE4 X:0006 Y:00BB S:012C D:0E68 DB:86 NvmXdizc V:248 H: 51 F: 9
			889FA0 65 05       ADC $05       [000E6D] A:FFE4 X:0006 Y:00BB S:012C D:0E68 DB:86 NvmXdizc V:248 H: 54 F: 9
			889FA2 85 05       STA $05       [000E6D] A:1D44 X:0006 Y:00BB S:012C D:0E68 DB:86 nvmXdizC V:248 H: 62 F: 9
			889FA4 E2 20       SEP #$20               A:1D44 X:0006 Y:00BB S:012C D:0E68 DB:86 nvmXdizC V:248 H: 71 F: 9
			889FA6 22 EA 8E 84 JSL $848EEA   [848EEA] A:1D44 X:0006 Y:00BB S:012C D:0E68 DB:86 nvMXdizC V:248 H: 75 F: 9		JSL $848EEA --> Decrease Countdown Routine

				848EEA 08          PHP                    A:1D44 X:0006 Y:00BB S:0129 D:0E68 DB:86 nvMXdizC V:248 H: 89 F: 9
				848EEB 8B          PHB                    A:1D44 X:0006 Y:00BB S:0128 D:0E68 DB:86 nvMXdizC V:248 H: 94 F: 9
				848EEC E2 30       SEP #$30               A:1D44 X:0006 Y:00BB S:0127 D:0E68 DB:86 nvMXdizC V:248 H: 99 F: 9
				848EEE C6 13       DEC $13       [000E7B] A:1D44 X:0006 Y:00BB S:0127 D:0E68 DB:86 nvMXdizC V:248 H:103 F: 9
				848EF0 D0 5D       BNE $005D     [848F4F] A:1D44 X:0006 Y:00BB S:0127 D:0E68 DB:86 nvMXdiZC V:248 H:113 F: 9
				848EF2 A9 AF       LDA #$AF               A:1D44 X:0006 Y:00BB S:0127 D:0E68 DB:86 nvMXdiZC V:248 H:116 F: 9
				848EF4 48          PHA                    A:1DAF X:0006 Y:00BB S:0127 D:0E68 DB:86 NvMXdizC V:248 H:119 F: 9
				848EF5 AB          PLB                    A:1DAF X:0006 Y:00BB S:0126 D:0E68 DB:86 NvMXdizC V:248 H:124 F: 9
				848EF6 C2 21       REP #$21               A:1DAF X:0006 Y:00BB S:0127 D:0E68 DB:AF NvMXdizC V:248 H:131 F: 9
				848EF8 A5 14       LDA $14       [000E7C] A:1DAF X:0006 Y:00BB S:0127 D:0E68 DB:AF NvmXdizc V:248 H:145 F: 9
				848EFA 69 03 00    ADC #$0003             A:DF7C X:0006 Y:00BB S:0127 D:0E68 DB:AF NvmXdizc V:248 H:154 F: 9
				848EFD A4 0F       LDY $0F       [000E77] A:DF7F X:0006 Y:00BB S:0127 D:0E68 DB:AF NvmXdizc V:248 H:158 F: 9
				848EFF 10 37       BPL $0037     [848F38] A:DF7F X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizc V:248 H:165 F: 9
				848F01 85 14       STA $14       [000E7C] A:DF7F X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizc V:248 H:168 F: 9
				848F03 72 14       ADC ($14)     [AFDF7F] A:DF7F X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizc V:248 H:176 F: 9
				848F05 80 31       BRA $0031     [848F38] A:DF70 X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizC V:248 H:188 F: 9
				848F38 85 14       STA $14       [000E7C] A:DF70 X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizC V:248 H:192 F: 9
				848F3A E2 30       SEP #$30               A:DF70 X:0006 Y:0083 S:0127 D:0E68 DB:AF NvmXdizC V:248 H:201 F: 9
				848F3C B2 14       LDA ($14)     [AFDF70] A:DF70 X:0006 Y:0083 S:0127 D:0E68 DB:AF NvMXdizC V:248 H:205 F: 9
				848F3E 85 13       STA $13       [000E7B] A:DF08 X:0006 Y:0083 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:215 F: 9
				848F40 A0 01       LDY #$01               A:DF08 X:0006 Y:0083 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:222 F: 9
				848F42 B1 14       LDA ($14),Y   [AFDF71] A:DF08 X:0006 Y:0001 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:225 F: 9
				848F44 85 0F       STA $0F       [000E77] A:DF00 X:0006 Y:0001 S:0127 D:0E68 DB:AF nvMXdiZC V:248 H:235 F: 9
				848F46 C8          INY                    A:DF00 X:0006 Y:0001 S:0127 D:0E68 DB:AF nvMXdiZC V:248 H:241 F: 9
				848F47 B1 14       LDA ($14),Y   [AFDF72] A:DF00 X:0006 Y:0002 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:244 F: 9
				848F49 85 17       STA $17       [000E7F] A:DF13 X:0006 Y:0002 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:254 F: 9
				848F4B A9 80       LDA #$80               A:DF13 X:0006 Y:0002 S:0127 D:0E68 DB:AF nvMXdizC V:248 H:261 F: 9
				848F4D 04 17       TSB $17       [000E7F] A:DF80 X:0006 Y:0002 S:0127 D:0E68 DB:AF NvMXdizC V:248 H:264 F: 9
				848F4F AB          PLB                    A:DF80 X:0006 Y:0002 S:0127 D:0E68 DB:AF NvMXdiZC V:248 H:274 F: 9
