80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F:10

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:182 F:10
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:186 F:10
	80D534 85 22       STA $22       [000E8A] A:1D44 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:195 F:10
	80D536 A5 08       LDA $08       [000E70] A:1D44 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:203 F:10
	80D538 85 24       STA $24       [000E8C] A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:212 F:10
	80D53A E2 20       SEP #$20               A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvmXdizC V:247 H:220 F:10
	80D53C A9 80       LDA #$80               A:034A X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:225 F:10
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:00BB S:0131 D:0E68 DB:86 NvMXdizC V:247 H:228 F:10
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:00BB S:0131 D:0E68 DB:86 NvMXdizC V:247 H:238 F:10
	80D542 0A          ASL A                  A:0331 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizC V:247 H:244 F:10
	80D543 AA          TAX                    A:0362 X:0000 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:247 F:10
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:250 F:10

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:00BB S:0131 D:0E68 DB:86 nvMXdizc V:247 H:259 F:10

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:273 F:10
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:279 F:10

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:288 F:10
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:291 F:10
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:301 F:10
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:308 F:10
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:00BB S:012E D:0E68 DB:86 nvMXdiZc V:247 H:318 F:10
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E2E] A:0308 X:0002 Y:00BB S:012E D:0E68 DB:86 nvMXdizc V:247 H:324 F:10

			889F24 A6 03       LDX $03       [000E6B] A:0308 X:0002 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:247 H:336 F:10
			889F26 7C 29 9F    JMP ($9F29,X) [889F31] A:0308 X:0008 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H:  3 F:10

			88A002 22 E8 81 82 JSL $8281E8   [8281E8] A:0308 X:0008 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H: 12 F:10	JSL $8281E8 --> Update X-Pos, Y-Pos, Y-Vel

				8281E8 08          PHP                    A:0308 X:0008 Y:00BB S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 25 F:10
				8281E9 C2 20       REP #$20               A:0308 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H: 30 F:10
				8281EB 38          SEC                    A:0308 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizc V:248 H: 35 F:10
				8281EC A5 1E       LDA $1E       [000E86] A:0308 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizC V:248 H: 38 F:10
				8281EE 29 FF 00    AND #$00FF             A:0040 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizC V:248 H: 46 F:10
