80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:206 F:25

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:216 F:25
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:220 F:25
	80D534 85 22       STA $22       [000E8A] A:1D44 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:229 F:25
	80D536 A5 08       LDA $08       [000E70] A:1D44 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:237 F:25
	80D538 85 24       STA $24       [000E8C] A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:246 F:25
	80D53A E2 20       SEP #$20               A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:254 F:25
	80D53C A9 80       LDA #$80               A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:259 F:25
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:00BC S:0131 D:0E68 DB:86 NvMXdizC V:247 H:262 F:25
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:00BC S:0131 D:0E68 DB:86 NvMXdizC V:247 H:272 F:25
	80D542 0A          ASL A                  A:0331 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:278 F:25
	80D543 AA          TAX                    A:0362 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:281 F:25
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:284 F:25

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:293 F:25

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:307 F:25
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:313 F:25

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:322 F:25
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:325 F:25
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:334 F:25
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:248 H:  1 F:25
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdiZc V:248 H: 11 F:25
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E30] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:248 H: 17 F:25

			88A059 A6 03       LDX $03       [000E6B] A:0308 X:0004 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 30 F:25
			88A05B 7C 5E A0    JMP ($A05E,X) [88A060] A:0308 X:0002 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 37 F:25

			88A0CE 22 EA 8E 84 JSL $848EEA   [848EEA] A:0308 X:0002 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 46 F:25		JSL $848EEA --> Decrease Countdown routine

				848EEA 08          PHP                    A:0308 X:0002 Y:00BC S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 59 F:25
				848EEB 8B          PHB                    A:0308 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H: 64 F:25
				848EEC E2 30       SEP #$30               A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 69 F:25
				848EEE C6 13       DEC $13       [000E7B] A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 74 F:25
				848EF0 D0 5D       BNE $005D     [848F4F] A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdiZc V:248 H: 84 F:25
