80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:222 F:55
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:227 F:55
	80D534 85 22       STA $22       [000E8A] A:1DBC X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:235 F:55
	80D536 A5 08       LDA $08       [000E70] A:1DBC X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:244 F:55
	80D538 85 24       STA $24       [000E8C] A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:252 F:55
	80D53A E2 20       SEP #$20               A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvmXdizC V:247 H:261 F:55
	80D53C A9 80       LDA #$80               A:03A2 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:265 F:55
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:00BC S:0131 D:0E68 DB:86 NvMXdizC V:247 H:268 F:55
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:00BC S:0131 D:0E68 DB:86 NvMXdizC V:247 H:278 F:55
	80D542 0A          ASL A                  A:0331 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizC V:247 H:285 F:55
	80D543 AA          TAX                    A:0362 X:0000 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:288 F:55
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:291 F:55

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:00BC S:0131 D:0E68 DB:86 nvMXdizc V:247 H:300 F:55

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:313 F:55
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:320 F:55

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:328 F:55
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:247 H:331 F:55
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:248 H:  1 F:55
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:248 H:  7 F:55
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdiZc V:248 H: 17 F:55
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E30] A:0308 X:0004 Y:00BC S:012E D:0E68 DB:86 nvMXdizc V:248 H: 24 F:55

			88A059 A6 03       LDX $03       [000E6B] A:0308 X:0004 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 37 F:55
			88A05B 7C 5E A0    JMP ($A05E,X) [88A060] A:0308 X:0002 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 43 F:55

			88A0CE 22 EA 8E 84 JSL $848EEA   [848EEA] A:0308 X:0002 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H: 52 F:55		JSL $848EEA --> Decrease Countdown Routine

				848EEA 08          PHP                    A:0308 X:0002 Y:00BC S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 66 F:55
				848EEB 8B          PHB                    A:0308 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H: 71 F:55
				848EEC E2 30       SEP #$30               A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 76 F:55
				848EEE C6 13       DEC $13       [000E7B] A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 80 F:55
				848EF0 D0 5D       BNE $005D     [848F4F] A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 90 F:55
				848F4F AB          PLB                    A:0308 X:0002 Y:00BC S:0127 D:0E68 DB:86 nvMXdizc V:248 H: 95 F:55
				848F50 28          PLP                    A:0308 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvMXdizc V:248 H:101 F:55
				848F51 6B          RTL                    A:0308 X:0002 Y:00BC S:0129 D:0E68 DB:86 nvMXdizc V:248 H:108 F:55

			88A0D2 A5 0F       LDA $0F       [000E77] A:0308 X:0002 Y:00BC S:012C D:0E68 DB:86 nvMXdizc V:248 H:118 F:55
			88A0D4 10 29       BPL $0029     [88A0FF] A:0380 X:0002 Y:00BC S:012C D:0E68 DB:86 NvMXdizc V:248 H:125 F:55
			88A0D6 22 3E 82 82 JSL $82823E   [82823E] A:0380 X:0002 Y:00BC S:012C D:0E68 DB:86 NvMXdizc V:248 H:128 F:55		JSL $82823E --> Update X-Pos, X-Vel

				82823E 08          PHP                    A:0380 X:0002 Y:00BC S:0129 D:0E68 DB:86 NvMXdizc V:248 H:151 F:55
				82823F C2 21       REP #$21               A:0380 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvMXdizc V:248 H:156 F:55
				828241 A5 04       LDA $04       [000E6C] A:0380 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvmXdizc V:248 H:161 F:55
				828243 65 1A       ADC $1A       [000E82] A:BC00 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvmXdizc V:248 H:169 F:55
				828245 85 04       STA $04       [000E6C] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvmXdizc V:248 H:178 F:55
				828247 E2 20       SEP #$20               A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvmXdizc V:248 H:186 F:55
				828249 24 1B       BIT $1B       [000E83] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvMXdizc V:248 H:191 F:55
				82824B 30 08       BMI $0008     [828255] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:197 F:55
				82824D A5 06       LDA $06       [000E6E] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:200 F:55
				82824F 69 00       ADC #$00               A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:207 F:55
				828251 85 06       STA $06       [000E6E] A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:210 F:55
				828253 28          PLP                    A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:216 F:55
				828254 6B          RTL                    A:C01D X:0002 Y:00BC S:0129 D:0E68 DB:86 NvMXdizc V:248 H:223 F:55

