80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0008 S:0133 D:0E68 DB:86 nvMXdizC V:249 H:242 F:37

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:249 H:252 F:37
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:257 F:37
	80D534 85 22       STA $22       [000E8A] A:1D3C X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:265 F:37
	80D536 A5 08       LDA $08       [000E70] A:1D3C X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:274 F:37
	80D538 85 24       STA $24       [000E8C] A:03A2 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:282 F:37
	80D53A E2 20       SEP #$20               A:03A2 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:249 H:291 F:37
	80D53C A9 80       LDA #$80               A:03A2 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:249 H:295 F:37
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:0008 S:0131 D:0E68 DB:86 NvMXdizC V:249 H:298 F:37
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:0008 S:0131 D:0E68 DB:86 NvMXdizC V:249 H:308 F:37
	80D542 0A          ASL A                  A:0331 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:249 H:315 F:37
	80D543 AA          TAX                    A:0362 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:249 H:318 F:37
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:249 H:321 F:37

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:249 H:329 F:37

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H:  2 F:37
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H:  9 F:37

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H: 18 F:37
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H: 21 F:37
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H: 31 F:37
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H: 37 F:37
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:0008 S:012E D:0E68 DB:86 nvMXdiZc V:250 H: 47 F:37
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E32] A:0308 X:0006 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H: 54 F:37

			88A16E A6 03       LDX $03       [000E6B] A:0308 X:0006 Y:0008 S:012C D:0E68 DB:86 nvMXdizc V:250 H: 67 F:37
			88A170 7C 73 A1    JMP ($A173,X) [88A177] A:0308 X:0004 Y:0008 S:012C D:0E68 DB:86 nvMXdizc V:250 H: 73 F:37

			88A1B4 22 E8 81 82 JSL $8281E8   [8281E8] A:0308 X:0004 Y:0008 S:012C D:0E68 DB:86 nvMXdizc V:250 H: 82 F:37		JSL $8281E8 --> Update X-Pos, Y-Pos, Y-Vel

				8281E8 08          PHP                    A:0308 X:0004 Y:0008 S:0129 D:0E68 DB:86 nvMXdizc V:250 H: 96 F:37
