80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:198 F:18

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:208 F:18
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:213 F:18
	80D534 85 22       STA $22       [000E8A] A:1E76 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:221 F:18
	80D536 A5 08       LDA $08       [000E70] A:1E76 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:230 F:18
	80D538 85 24       STA $24       [000E8C] A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:238 F:18
	80D53A E2 20       SEP #$20               A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:247 F:18
	80D53C A9 80       LDA #$80               A:01AC X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:251 F:18
	80D53E 14 0E       TRB $0E       [000E76] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:254 F:18
	80D540 A5 0A       LDA $0A       [000E72] A:0180 X:0000 Y:0027 S:0131 D:0E68 DB:86 NvMXdizC V:248 H:264 F:18
	80D542 0A          ASL A                  A:0102 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizC V:248 H:271 F:18
	80D543 AA          TAX                    A:0104 X:0000 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:274 F:18
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E1] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:277 F:18

	80F9BB 22 16 B5 81 JSL $81B516   [81B516] A:0104 X:0004 Y:0027 S:0131 D:0E68 DB:86 nvMXdizc V:248 H:286 F:18

		81B516 A6 01       LDX $01       [000E69] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:299 F:18
		81B518 7C 1B B5    JMP ($B51B,X) [81B51F] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:306 F:18

		81B629 A5 33       LDA $33       [000E9B] A:0104 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:315 F:18
		81B62B 04 11       TSB $11       [000E79] A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:321 F:18
		81B62D C2 20       REP #$20               A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:248 H:330 F:18
		81B62F A9 2D C4    LDA #$C42D             A:0108 X:0004 Y:0027 S:012E D:0E68 DB:86 nvmXdizc V:248 H:335 F:18
		81B632 85 20       STA $20       [000E88] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:248 H:339 F:18
		81B634 E2 20       SEP #$20               A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvmXdizc V:249 H:  8 F:18
		81B636 A6 02       LDX $02       [000E6A] A:C42D X:0004 Y:0027 S:012E D:0E68 DB:86 NvMXdizc V:249 H: 12 F:18
		81B638 FC F3 B6    JSR ($B6F3,X) [81B6F9] A:C42D X:0006 Y:0027 S:012E D:0E68 DB:86 nvMXdizc V:249 H: 19 F:18

			81B93B A6 03       LDX $03       [000E6B] A:C42D X:0006 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 32 F:18
			81B93D 7C 40 B9    JMP ($B940,X) [81B944] A:C42D X:0004 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 38 F:18				JSR ($B940,Subaction) = ($81B944) = $81B989

			81B989 22 E8 81 82 JSL $8281E8   [8281E8] A:C42D X:0004 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 47 F:18				JSL	$8281E8 --> Update E-Y-Vel, E-Positions

				8281E8 08          PHP                    A:C42D X:0004 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H: 61 F:18
				8281E9 C2 20       REP #$20               A:C42D X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H: 66 F:18
				8281EB 38          SEC                    A:C42D X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H: 70 F:18
				8281EC A5 1E       LDA $1E       [000E86] A:C42D X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 73 F:18
				8281EE 29 FF 00    AND #$00FF             A:1040 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 82 F:18
				8281F1 E5 1C       SBC $1C       [000E84] A:0040 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H: 86 F:18
				8281F3 49 FF FF    EOR #$FFFF             A:F7C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvmXdizc V:249 H: 95 F:18
				8281F6 1A          INC                    A:083D X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H: 99 F:18
				8281F7 85 1C       STA $1C       [000E84] A:083E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:102 F:18
				8281F9 80 10       BRA $0010     [82820B] A:083E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:111 F:18
				82820B C2 21       REP #$21               A:083E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:115 F:18
				82820D A5 04       LDA $04       [000E6C] A:083E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:120 F:18
				82820F 65 1A       ADC $1A       [000E82] A:76E0 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:128 F:18
				828211 85 04       STA $04       [000E6C] A:78B0 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:147 F:18
				828213 E2 20       SEP #$20               A:78B0 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:155 F:18
				828215 A9 00       LDA #$00               A:78B0 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:160 F:18
				828217 24 1B       BIT $1B       [000E83] A:7800 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:163 F:18
				828219 10 01       BPL $0001     [82821C] A:7800 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:169 F:18
				82821C 65 06       ADC $06       [000E6E] A:7800 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZc V:249 H:174 F:18
				82821E 85 06       STA $06       [000E6E] A:781E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:180 F:18
				828220 C2 20       REP #$20               A:781E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:187 F:18
