80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0091 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:164 F: 0

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:174 F: 0
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:178 F: 0
	80D534 85 22       STA $22       [000E8A] A:07D0 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:187 F: 0
	80D536 A5 08       LDA $08       [000E70] A:07D0 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:195 F: 0
	80D538 85 24       STA $24       [000E8C] A:00A8 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:204 F: 0
	80D53A E2 20       SEP #$20               A:00A8 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:212 F: 0
	80D53C A9 80       LDA #$80               A:00A8 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:217 F: 0
	80D53E 14 0E       TRB $0E       [000E76] A:0080 X:0000 Y:0091 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:220 F: 0
	80D540 A5 0A       LDA $0A       [000E72] A:0080 X:0000 Y:0091 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:230 F: 0
	80D542 0A          ASL A                  A:0005 X:0000 Y:0091 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:236 F: 0
	80D543 AA          TAX                    A:000A X:0000 Y:0091 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:239 F: 0
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E7] A:000A X:000A Y:0091 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:242 F: 0

	80F9CA 22 7E 8A 87 JSL $878A7E   [878A7E] A:000A X:000A Y:0091 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:251 F: 0

		878A7E A6 01       LDX $01       [000E69] A:000A X:000A Y:0091 S:012E D:0E68 DB:86 nvMXdizc V:247 H:265 F: 0
		878A80 7C 83 8A    JMP ($8A83,X) [878A87] A:000A X:0004 Y:0091 S:012E D:0E68 DB:86 nvMXdizc V:247 H:271 F: 0

		878C1A A5 33       LDA $33       [000E9B] A:000A X:0004 Y:0091 S:012E D:0E68 DB:86 nvMXdizc V:247 H:280 F: 0
		878C1C 04 11       TSB $11       [000E79] A:0008 X:0004 Y:0091 S:012E D:0E68 DB:86 nvMXdizc V:247 H:287 F: 0
		878C1E A6 02       LDX $02       [000E6A] A:0008 X:0004 Y:0091 S:012E D:0E68 DB:86 nvMXdizc V:247 H:297 F: 0
		878C20 FC F2 8C    JSR ($8CF2,X) [878CF2] A:0008 X:0000 Y:0091 S:012E D:0E68 DB:86 nvMXdiZc V:247 H:303 F: 0

			878CFC A6 03       LDX $03       [000E6B] A:0008 X:0000 Y:0091 S:012C D:0E68 DB:86 nvMXdiZc V:247 H:316 F: 0
			878CFE 7C 01 8D    JMP ($8D01,X) [878D05] A:0008 X:0004 Y:0091 S:012C D:0E68 DB:86 nvMXdizc V:247 H:323 F: 0

			878D94 E6 31       INC $31       [000E99] A:0008 X:0004 Y:0091 S:012C D:0E68 DB:86 nvMXdizc V:247 H:331 F: 0
