80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:255 H:162 F:59

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:255 H:172 F:59
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:255 H:177 F:59
	80D534 85 22       STA $22       [000E8A] A:078D X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:255 H:185 F:59
	80D536 A5 08       LDA $08       [000E70] A:078D X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:255 H:194 F:59
	80D538 85 24       STA $24       [000E8C] A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:255 H:202 F:59
	80D53A E2 20       SEP #$20               A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvmXdizC V:255 H:211 F:59
	80D53C A9 80       LDA #$80               A:00A8 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:255 H:215 F:59
	80D53E 14 0E       TRB $0E       [000E76] A:0080 X:0000 Y:009B S:0131 D:0E68 DB:86 NvMXdizC V:255 H:218 F:59
	80D540 A5 0A       LDA $0A       [000E72] A:0080 X:0000 Y:009B S:0131 D:0E68 DB:86 NvMXdizC V:255 H:228 F:59
	80D542 0A          ASL A                  A:0005 X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizC V:255 H:235 F:59
	80D543 AA          TAX                    A:000A X:0000 Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:255 H:238 F:59
	80D544 7C DD F8    JMP ($F8DD,X) [80F8E7] A:000A X:000A Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:255 H:241 F:59

	80F9CA 22 7E 8A 87 JSL $878A7E   [878A7E] A:000A X:000A Y:009B S:0131 D:0E68 DB:86 nvMXdizc V:255 H:250 F:59

		878A7E A6 01       LDX $01       [000E69] A:000A X:000A Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:263 F:59
		878A80 7C 83 8A    JMP ($8A83,X) [878A87] A:000A X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:270 F:59

		878C1A A5 33       LDA $33       [000E9B] A:000A X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:279 F:59
		878C1C 04 11       TSB $11       [000E79] A:0008 X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:285 F:59
		878C1E A6 02       LDX $02       [000E6A] A:0008 X:0004 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:295 F:59
		878C20 FC F2 8C    JSR ($8CF2,X) [878CFA] A:0008 X:0008 Y:009B S:012E D:0E68 DB:86 nvMXdizc V:255 H:302 F:59

			878FF4 22 EA 8E 84 JSL $848EEA   [848EEA] A:0008 X:0008 Y:009B S:012C D:0E68 DB:86 nvMXdizc V:255 H:315 F:59		JSL $848EEA --> Decrease CDSkel, Continue Skeleton

				848EEA 08          PHP                    A:0008 X:0008 Y:009B S:0129 D:0E68 DB:86 nvMXdizc V:255 H:327 F:59
				848EEB 8B          PHB                    A:0008 X:0008 Y:009B S:0128 D:0E68 DB:86 nvMXdizc V:255 H:332 F:59
				848EEC E2 30       SEP #$30               A:0008 X:0008 Y:009B S:0127 D:0E68 DB:86 nvMXdizc V:255 H:337 F:59
				848EEE C6 13       DEC $13       [000E7B] A:0008 X:0008 Y:009B S:0127 D:0E68 DB:86 nvMXdizc V:256 H:  2 F:59
				848EF0 D0 5D       BNE $005D     [848F4F] A:0008 X:0008 Y:009B S:0127 D:0E68 DB:86 nvMXdizc V:256 H: 12 F:59
				848F4F AB          PLB                    A:0008 X:0008 Y:009B S:0127 D:0E68 DB:86 nvMXdizc V:256 H: 16 F:59
				848F50 28          PLP                    A:0008 X:0008 Y:009B S:0128 D:0E68 DB:86 NvMXdizc V:256 H: 23 F:59
				848F51 6B          RTL                    A:0008 X:0008 Y:009B S:0129 D:0E68 DB:86 nvMXdizc V:256 H: 29 F:59

			878FF8 A5 11       LDA $11       [000E79] A:0008 X:0008 Y:009B S:012C D:0E68 DB:86 nvMXdizc V:256 H: 40 F:59
			878FFA 0A          ASL A                  A:0069 X:0008 Y:009B S:012C D:0E68 DB:86 nvMXdizc V:256 H: 46 F:59
			878FFB 0A          ASL A                  A:00D2 X:0008 Y:009B S:012C D:0E68 DB:86 NvMXdizc V:256 H: 49 F:59
			878FFC C2 20       REP #$20               A:00A4 X:0008 Y:009B S:012C D:0E68 DB:86 NvMXdizC V:256 H: 52 F:59
			878FFE A5 05       LDA $05       [000E6D] A:00A4 X:0008 Y:009B S:012C D:0E68 DB:86 NvmXdizC V:256 H: 57 F:59		|E-X-Pos = E-X-Pos + (#$02 if Facing Left, -#$02 if Facing Right)
			879000 90 04       BCC $0004     [879006] A:078D X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 65 F:59		|
			879002 3A          DEC                    A:078D X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 68 F:59		|
			879003 3A          DEC                    A:078C X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 71 F:59		|
			879004 80 02       BRA $0002     [879008] A:078B X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 74 F:59		|
			879008 85 05       STA $05       [000E6D] A:078B X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 79 F:59		|
			87900A E2 20       SEP #$20               A:078B X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:256 H: 87 F:59
			87900C 22 BE 91 84 JSL $8491BE   [8491BE] A:078B X:0008 Y:009B S:012C D:0E68 DB:86 nvMXdizC V:256 H: 92 F:59		JSL $8491BE --> Check for colissions, adjust position, update Contact

				8491BE 08          PHP                    A:078B X:0008 Y:009B S:0129 D:0E68 DB:86 nvMXdizC V:256 H:105 F:59
				8491BF 0B          PHD                    A:078B X:0008 Y:009B S:0128 D:0E68 DB:86 nvMXdizC V:256 H:110 F:59
				8491C0 C2 30       REP #$30               A:078B X:0008 Y:009B S:0126 D:0E68 DB:86 nvMXdizC V:256 H:117 F:59
				8491C2 A5 20       LDA $20       [000E88] A:078B X:0008 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:256 H:122 F:59
				8491C4 F0 15       BEQ $0015     [8491DB] A:C58D X:0008 Y:009B S:0126 D:0E68 DB:86 NvmxdizC V:256 H:130 F:59
				8491C6 7B          TDC                    A:C58D X:0008 Y:009B S:0126 D:0E68 DB:86 NvmxdizC V:256 H:133 F:59
				8491C7 AA          TAX                    A:0E68 X:0008 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:256 H:146 F:59
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:256 H:149 F:59
				8491CB 5B          TCD                    A:0000 X:0E68 Y:009B S:0126 D:0E68 DB:86 nvmxdiZC V:256 H:154 F:59
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:256 H:157 F:59
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:256 H:164 F:59
				8491D0 29 00 FF    AND #$FF00             A:0004 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdizC V:256 H:172 F:59
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:256 H:177 F:59
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:256 H:185 F:59

				8492AC C2 30       REP #$30               A:0000 X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdiZC V:256 H:195 F:59
				8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdiZC V:256 H:200 F:59
				8492B0 38          SEC                    A:078B X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdizC V:256 H:208 F:59
				8492B1 F5 22       SBC $22,X     [000E8A] A:078B X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdizC V:256 H:211 F:59
				8492B3 85 00       STA $00       [000000] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 Nvmxdizc V:256 H:220 F:59
				8492B5 E2 20       SEP #$20               A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 Nvmxdizc V:256 H:227 F:59
				8492B7 F0 4C       BEQ $004C     [849305] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 NvMxdizc V:256 H:231 F:59
				8492B9 B4 20       LDY $20,X     [000E88] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 NvMxdizc V:256 H:234 F:59
				8492BB B9 05 00    LDA $0005,Y   [86C592] A:FFFE X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:256 H:243 F:59
				8492BE 34 11       BIT $11,X     [000E79] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdiZc V:256 H:250 F:59
				8492C0 50 03       BVC $0003     [8492C5] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:256 H:257 F:59
				8492C2 49 FF       EOR #$FF               A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:256 H:260 F:59
				8492C4 1A          INC                    A:FFFF X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdizc V:256 H:263 F:59
				8492C5 24 00       BIT $00       [000000] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:256 H:266 F:59
