80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:316 F: 3

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:325 F: 3
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:329 F: 3
	80D534 85 22       STA $22       [000E8A] A:1422 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:338 F: 3
	80D536 A5 08       LDA $08       [000E70] A:1422 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:248 H:  6 F: 3
	80D538 85 24       STA $24       [000E8C] A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:248 H: 15 F: 3
	80D53A E2 20       SEP #$20               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:248 H: 23 F: 3
	80D53C A9 80       LDA #$80               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:248 H: 28 F: 3
	80D53E 14 0E       TRB $0E       [000E76] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:248 H: 31 F: 3
	80D540 A5 0A       LDA $0A       [000E72] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:248 H: 41 F: 3
	80D542 0A          ASL A                  A:0A14 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:248 H: 47 F: 3
	80D543 AA          TAX                    A:0A28 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:248 H: 50 F: 3
	80D544 7C DD F8    JMP ($F8DD,X) [80F905] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:248 H: 53 F: 3

	80FA15 22 44 B1 83 JSL $83B144   [83B144] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:248 H: 62 F: 3

