80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0002 S:0133 D:0E68 DB:86 nvMXdizC V:250 H:300 F:33

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvMXdizC V:250 H:310 F:33
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:315 F:33
	80D534 85 22       STA $22       [000E8A] A:1489 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:323 F:33
	80D536 A5 08       LDA $08       [000E70] A:1489 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:331 F:33
	80D538 85 24       STA $24       [000E8C] A:0A9D X:0000 Y:0002 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:339 F:33
	80D53A E2 20       SEP #$20               A:0A9D X:0000 Y:0002 S:0131 D:0E68 DB:86 nvmXdizC V:251 H:  8 F:33
	80D53C A9 80       LDA #$80               A:0A9D X:0000 Y:0002 S:0131 D:0E68 DB:86 nvMXdizC V:251 H: 12 F:33
	80D53E 14 0E       TRB $0E       [000E76] A:0A80 X:0000 Y:0002 S:0131 D:0E68 DB:86 NvMXdizC V:251 H: 15 F:33
	80D540 A5 0A       LDA $0A       [000E72] A:0A80 X:0000 Y:0002 S:0131 D:0E68 DB:86 NvMXdizC V:251 H: 25 F:33
	80D542 0A          ASL A                  A:0A14 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvMXdizC V:251 H: 32 F:33
	80D543 AA          TAX                    A:0A28 X:0000 Y:0002 S:0131 D:0E68 DB:86 nvMXdizc V:251 H: 35 F:33
	80D544 7C DD F8    JMP ($F8DD,X) [80F905] A:0A28 X:0028 Y:0002 S:0131 D:0E68 DB:86 nvMXdizc V:251 H: 38 F:33

	80FA15 22 44 B1 83 JSL $83B144   [83B144] A:0A28 X:0028 Y:0002 S:0131 D:0E68 DB:86 nvMXdizc V:251 H: 47 F:33

		83B144 A6 01       LDX $01       [000E69] A:0A28 X:0028 Y:0002 S:012E D:0E68 DB:86 nvMXdizc V:251 H: 60 F:33
		83B146 7C 49 B1    JMP ($B149,X) [83B14D] A:0A28 X:0004 Y:0002 S:012E D:0E68 DB:86 nvMXdizc V:251 H: 67 F:33

		83B2E8 A6 02       LDX $02       [000E6A] A:0A28 X:0004 Y:0002 S:012E D:0E68 DB:86 nvMXdizc V:251 H: 76 F:33
		83B2EA FC DA B3    JSR ($B3DA,X) [83B3DC] A:0A28 X:0002 Y:0002 S:012E D:0E68 DB:86 nvMXdizc V:251 H: 82 F:33

			83B69D A6 03       LDX $03       [000E6B] A:0A28 X:0002 Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:251 H: 95 F:33
			83B69F 7C A2 B6    JMP ($B6A2,X) [83B6A4] A:0A28 X:0002 Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:251 H:102 F:33

			83B6BE 22 EA 8E 84 JSL $848EEA   [848EEA] A:0A28 X:0002 Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:251 H:111 F:33

				848EEA 08          PHP                    A:0A28 X:0002 Y:0002 S:0129 D:0E68 DB:86 nvMXdizc V:251 H:124 F:33
				848EEB 8B          PHB                    A:0A28 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:251 H:129 F:33
				848EEC E2 30       SEP #$30               A:0A28 X:0002 Y:0002 S:0127 D:0E68 DB:86 nvMXdizc V:251 H:144 F:33
				848EEE C6 13       DEC $13       [000E7B] A:0A28 X:0002 Y:0002 S:0127 D:0E68 DB:86 nvMXdizc V:251 H:149 F:33
				848EF0 D0 5D       BNE $005D     [848F4F] A:0A28 X:0002 Y:0002 S:0127 D:0E68 DB:86 nvMXdizc V:251 H:159 F:33
				848F4F AB          PLB                    A:0A28 X:0002 Y:0002 S:0127 D:0E68 DB:86 nvMXdizc V:251 H:163 F:33
				848F50 28          PLP                    A:0A28 X:0002 Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:251 H:170 F:33
