80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:115 F:29

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:125 F:29
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:129 F:29
	80D534 85 22       STA $22       [000E8A] A:148F X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:148 F:29
	80D536 A5 08       LDA $08       [000E70] A:148F X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:156 F:29
	80D538 85 24       STA $24       [000E8C] A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:165 F:29
	80D53A E2 20       SEP #$20               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:173 F:29
	80D53C A9 80       LDA #$80               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:178 F:29
	80D53E 14 0E       TRB $0E       [000E76] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:181 F:29
	80D540 A5 0A       LDA $0A       [000E72] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:191 F:29
	80D542 0A          ASL A                  A:0A14 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:197 F:29
	80D543 AA          TAX                    A:0A28 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:200 F:29
	80D544 7C DD F8    JMP ($F8DD,X) [80F905] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:203 F:29

	80FA15 22 44 B1 83 JSL $83B144   [83B144] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:212 F:29

		83B144 A6 01       LDX $01       [000E69] A:0A28 X:0028 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:226 F:29
		83B146 7C 49 B1    JMP ($B149,X) [83B14D] A:0A28 X:0004 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:232 F:29

		83B2E8 A6 02       LDX $02       [000E6A] A:0A28 X:0004 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:241 F:29
		83B2EA FC DA B3    JSR ($B3DA,X) [83B3E2] A:0A28 X:0008 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:248 F:29

			83B826 A6 03       LDX $03       [000E6B] A:0A28 X:0008 Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:247 H:261 F:29
			83B828 7C 2B B8    JMP ($B82B,X) [83B837] A:0A28 X:000C Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:247 H:267 F:29

			83B8C0 22 3E 82 82 JSL $82823E   [82823E] A:0A28 X:000C Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:247 H:276 F:29		JSL $82823E --> Update X-Pos

				82823E 08          PHP                    A:0A28 X:000C Y:0046 S:0129 D:0E68 DB:86 nvMXdizc V:247 H:290 F:29
				82823F C2 21       REP #$21               A:0A28 X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:247 H:295 F:29
				828241 A5 04       LDA $04       [000E6C] A:0A28 X:000C Y:0046 S:0128 D:0E68 DB:86 nvmXdizc V:247 H:299 F:29
				828243 65 1A       ADC $1A       [000E82] A:8F5E X:000C Y:0046 S:0128 D:0E68 DB:86 NvmXdizc V:247 H:308 F:29
				828245 85 04       STA $04       [000E6C] A:905E X:000C Y:0046 S:0128 D:0E68 DB:86 NvmXdizc V:247 H:316 F:29
				828247 E2 20       SEP #$20               A:905E X:000C Y:0046 S:0128 D:0E68 DB:86 NvmXdizc V:247 H:324 F:29
				828249 24 1B       BIT $1B       [000E83] A:905E X:000C Y:0046 S:0128 D:0E68 DB:86 NvMXdizc V:247 H:328 F:29
				82824B 30 08       BMI $0008     [828255] A:905E X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdiZc V:247 H:335 F:29
				82824D A5 06       LDA $06       [000E6E] A:905E X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdiZc V:247 H:338 F:29
				82824F 69 00       ADC #$00               A:9014 X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:  4 F:29
				828251 85 06       STA $06       [000E6E] A:9014 X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:  7 F:29
				828253 28          PLP                    A:9014 X:000C Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:248 H: 14 F:29
				828254 6B          RTL                    A:9014 X:000C Y:0046 S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 20 F:29

