80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00AA S:0133 D:0E68 DB:86 nvMXdizC V:258 H: 63 F:17

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvMXdizC V:258 H: 73 F:17
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvmXdizC V:258 H: 78 F:17
	80D534 85 22       STA $22       [000E8A] A:1D7F X:0000 Y:00AA S:0131 D:0E68 DB:86 nvmXdizC V:258 H: 86 F:17
	80D536 A5 08       LDA $08       [000E70] A:1D7F X:0000 Y:00AA S:0131 D:0E68 DB:86 nvmXdizC V:258 H: 95 F:17
	80D538 85 24       STA $24       [000E8C] A:03A2 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvmXdizC V:258 H:103 F:17
	80D53A E2 20       SEP #$20               A:03A2 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvmXdizC V:258 H:112 F:17
	80D53C A9 80       LDA #$80               A:03A2 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvMXdizC V:258 H:116 F:17
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:00AA S:0131 D:0E68 DB:86 NvMXdizC V:258 H:119 F:17
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:00AA S:0131 D:0E68 DB:86 NvMXdizC V:258 H:129 F:17
	80D542 0A          ASL A                  A:0331 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvMXdizC V:258 H:146 F:17
	80D543 AA          TAX                    A:0362 X:0000 Y:00AA S:0131 D:0E68 DB:86 nvMXdizc V:258 H:149 F:17
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:00AA S:0131 D:0E68 DB:86 nvMXdizc V:258 H:152 F:17

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:00AA S:0131 D:0E68 DB:86 nvMXdizc V:258 H:161 F:17

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:174 F:17
		889BE3 7C E6 9B    JMP ($9BE6,X) [889BEA] A:0362 X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:181 F:17			JMP ($889BE6,State)

		889D6E A9 0E       LDA #$0E               A:0362 X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:190 F:17
		889D70 14 11       TRB $11       [000E79] A:030E X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:193 F:17
		889D72 A5 33       LDA $33       [000E9B] A:030E X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:203 F:17
		889D74 04 11       TSB $11       [000E79] A:0308 X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:209 F:17
		889D76 A6 02       LDX $02       [000E6A] A:0308 X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdiZc V:258 H:219 F:17
		889D78 FC 2C 9E    JSR ($9E2C,X) [889E30] A:0308 X:0004 Y:00AA S:012E D:0E68 DB:86 nvMXdizc V:258 H:226 F:17			JSR ($889E2C,Action)

			88A059 A6 03       LDX $03       [000E6B] A:0308 X:0004 Y:00AA S:012C D:0E68 DB:86 nvMXdizc V:258 H:239 F:17
			88A05B 7C 5E A0    JMP ($A05E,X) [88A060] A:0308 X:0002 Y:00AA S:012C D:0E68 DB:86 nvMXdizc V:258 H:245 F:17

			88A0CE 22 EA 8E 84 JSL $848EEA   [848EEA] A:0308 X:0002 Y:00AA S:012C D:0E68 DB:86 nvMXdizc V:258 H:254 F:17

				848EEA 08          PHP                    A:0308 X:0002 Y:00AA S:0129 D:0E68 DB:86 nvMXdizc V:258 H:268 F:17
				848EEB 8B          PHB                    A:0308 X:0002 Y:00AA S:0128 D:0E68 DB:86 nvMXdizc V:258 H:273 F:17
				848EEC E2 30       SEP #$30               A:0308 X:0002 Y:00AA S:0127 D:0E68 DB:86 nvMXdizc V:258 H:278 F:17
				848EEE C6 13       DEC $13       [000E7B] A:0308 X:0002 Y:00AA S:0127 D:0E68 DB:86 nvMXdizc V:258 H:282 F:17
				848EF0 D0 5D       BNE $005D     [848F4F] A:0308 X:0002 Y:00AA S:0127 D:0E68 DB:86 nvMXdizc V:258 H:292 F:17
				848F4F AB          PLB                    A:0308 X:0002 Y:00AA S:0127 D:0E68 DB:86 nvMXdizc V:258 H:297 F:17
				848F50 28          PLP                    A:0308 X:0002 Y:00AA S:0128 D:0E68 DB:86 NvMXdizc V:258 H:303 F:17
				848F51 6B          RTL                    A:0308 X:0002 Y:00AA S:0129 D:0E68 DB:86 nvMXdizc V:258 H:310 F:17

			88A0D2 A5 0F       LDA $0F       [000E77] A:0308 X:0002 Y:00AA S:012C D:0E68 DB:86 nvMXdizc V:258 H:320 F:17
			88A0D4 10 29       BPL $0029     [88A0FF] A:0380 X:0002 Y:00AA S:012C D:0E68 DB:86 NvMXdizc V:258 H:326 F:17
			88A0D6 22 3E 82 82 JSL $82823E   [82823E] A:0380 X:0002 Y:00AA S:012C D:0E68 DB:86 NvMXdizc V:258 H:329 F:17

				82823E 08          PHP                    A:0380 X:0002 Y:00AA S:0129 D:0E68 DB:86 NvMXdizc V:259 H:  2 F:17
				82823F C2 21       REP #$21               A:0380 X:0002 Y:00AA S:0128 D:0E68 DB:86 NvMXdizc V:259 H:  7 F:17
